HOG	OG	Gene Tree Parent Clade	GCA_000014625.1	GCA_001077675.1	GCF_000006765.1	GCF_000007805.1	GCF_000009225.2	GCF_000012265.1	GCF_000013785.1	GCF_000017205.1	GCF_000026105.1	GCF_000026645.1	GCF_000046845.1	GCF_000145845.1	GCF_000145845.2	GCF_000145885.1	GCF_000146005.2	GCF_000164015.3	GCF_000172895.1	GCF_000194805.1	GCF_000204295.1	GCF_000219605.1	GCF_000237045.1	GCF_000280575.1	GCF_000293885.2	GCF_000319815.1	GCF_000327065.1	GCF_000344475.3	GCF_000349845.1	GCF_000397205.1	GCF_000413935.1	GCF_000452445.2	GCF_000452705.1	GCF_000452745.2	GCF_000510285.1	GCF_000568855.2	GCF_000696345.2	GCF_000746525.1	GCF_000759535.1	GCF_000761155.1	GCF_000813225.1	GCF_000825645.2	GCF_000828695.1	GCF_000988485.1	GCF_001020725.2	GCF_001042905.1	GCF_001269655.1	GCF_001297075.1	GCF_001400495.1	GCF_001400675.1	GCF_001412045.1	GCF_001449085.1	GCF_001477425.1	GCF_001482725.1	GCF_001515585.1	GCF_001518815.1	GCF_001543125.1	GCF_001547895.1	GCF_001547915.1	GCF_001594225.1	GCF_001605965.1	GCF_001641345.1	GCF_001647715.1	GCF_001655295.1	GCF_001655595.1	GCF_001655615.1	GCF_001661075.1	GCF_001682515.1	GCF_001708425.1	GCF_001708505.1	GCF_001730655.1	GCF_001839655.2	GCF_002007785.1	GCF_002024285.1	GCF_002091695.1	GCF_002287865.1	GCF_002318885.1	GCF_002355315.1	GCF_002356535.2	GCF_002362295.1	GCF_002442555.1	GCF_002688705.1	GCF_002736065.1	GCF_002741095.1	GCF_002864795.1	GCF_002884415.1	GCF_002905795.1	GCF_002941105.1	GCF_002966555.1	GCF_002966835.1	GCF_002980135.1	GCF_003047185.1	GCF_003410335.1	GCF_003413075.1	GCF_003415775.1	GCF_003626995.1	GCF_003671865.1	GCF_003699405.1	GCF_003699955.1	GCF_003700835.1	GCF_003850385.1	GCF_003850425.1	GCF_003851145.1	GCF_003851385.1	GCF_003851985.1	GCF_003852025.1	GCF_003940825.1	GCF_004124255.1	GCF_004135995.1	GCF_004348895.1	GCF_004683905.1	GCF_004745455.1	GCF_005080685.1	GCF_005281455.1	GCF_007833495.1	GCF_008370715.1	GCF_008693965.1	GCF_008801455.1	GCF_008801565.1	GCF_009362955.1	GCF_009497895.1	GCF_009740185.1	GCF_009755645.1	GCF_009903285.1	GCF_009911755.1	GCF_011040435.1	GCF_011397855.1	GCF_011466835.1	GCF_011765175.1	GCF_012971725.1	GCF_013200955.1	GCF_013347965.1	GCF_013374995.1	GCF_013393345.1	GCF_013403585.1	GCF_013409125.2	GCF_013425825.1	GCF_013778535.1	GCF_013911125.1	GCF_014076455.1	GCF_014190825.1	GCF_014268275.2	GCF_014268375.2	GCF_014268445.1	GCF_014268455.2	GCF_014268485.2	GCF_014268495.1	GCF_014268585.2	GCF_014268595.1	GCF_014268695.2	GCF_014268755.2	GCF_014268885.2	GCF_014269025.1	GCF_014269225.2	GCF_014522265.1	GCF_014656565.1	GCF_014855475.1	GCF_014863585.1	GCF_014863605.1	GCF_015476275.1	GCF_015712065.1	GCF_016134935.1	GCF_016599635.1	GCF_016861485.1	GCF_017166425.1	GCF_017167965.1	GCF_017798225.1	GCF_017915135.1	GCF_018388545.1	GCF_018417575.1	GCF_019139535.1	GCF_019139675.1	GCF_019139795.1	GCF_019139815.1	GCF_019139835.1	GCF_019139855.1	GCF_019139895.1	GCF_019141525.1	GCF_019285655.1	GCF_019334485.1	GCF_019614655.1	GCF_019693255.1	GCF_019719375.1	GCF_019879085.1	GCF_020025155.1	GCF_020204845.1	GCF_020422905.1	GCF_020424105.1	GCF_020917325.1	GCF_021029445.1	GCF_021233455.1	GCF_021389915.1	GCF_021398855.1	GCF_021432765.1	GCF_021495345.1	GCF_021601925.1	GCF_021605025.1	GCF_021654315.1	GCF_021725455.1	GCF_022026035.1	GCF_022049085.1	GCF_022510205.1	GCF_022533565.1	GCF_022557235.1	GCF_022807995.1	GCF_022870785.1	GCF_023207855.1	GCF_023277925.1	GCF_024023035.1	GCF_024072295.1	GCF_024397895.1	GCF_024413275.1	GCF_024448735.1	GCF_900104805.1	GCF_900104915.1	GCF_900104945.1	GCF_900105005.1	GCF_900105255.1	GCF_900105485.1	GCF_900105655.1	GCF_900105885.1	GCF_900105995.1	GCF_900106015.1	GCF_900106045.1	GCF_900116605.1	GCF_900188285.1	GCF_900235895.1	GCF_900475215.1	GCF_900475285.1	GCF_900601635.1	GCF_900625045.1	GCF_900626055.1	GCF_900636845.1	GCF_900636995.1	GCF_900682675.1	GCF_901482615.1	GCF_000271365.1	GCF_000510305.1	GCF_002943995.1	GCF_002951475.1	GCF_004355125.1	GCF_004355145.1	GCF_013343435.1	GCF_013343475.1	GCF_013343535.1	GCF_022559545.1
N163.HOG0000000	OG0000000	n58																					WP_029526098.1																		WP_041988809.1																																																															WP_041988809.1																WP_023968136.1																																																																																																																														
N163.HOG0000001	OG0000000	n67																					WP_009048363.1																		WP_028682646.1																																																															WP_028682646.1	WP_124321273.1															WP_023968849.1																																																																																																																														
N163.HOG0000002	OG0000000	n210																					WP_016703364.1																		WP_016703364.1																																																															WP_016703364.1	WP_124322064.1															WP_051408706.1																																																																																																																														
N163.HOG0000003	OG0000000	n464																					WP_016702233.1																		WP_016702233.1																																																															WP_124354680.1	WP_124319829.1																																																																																																																																													
N163.HOG0000004	OG0000000	n566																					WP_029526997.1																		WP_028681885.1																																																															WP_009047604.1	WP_124319716.1															WP_023968222.1																																																																																																																														
N163.HOG0000005	OG0000000	n675																					WP_016701644.1																		WP_009046899.1																																																															WP_124354595.1	WP_124319074.1															WP_023969523.1																																																																																																																														
N163.HOG0000006	OG0000000	n726																																																																																																							WP_124321585.1															WP_023970492.1																																																																																																																														
N163.HOG0000007	OG0000000	n758																					WP_016701970.1																		WP_009049887.1																																																															WP_009049887.1	WP_124321444.1															WP_023964239.1																																																																																																																														
N163.HOG0000008	OG0000000	n772																					WP_016702825.1																		WP_009048369.1																																																															WP_009048369.1	WP_124321263.1															WP_023968854.1																																																																																																																														
N163.HOG0000009	OG0000000	n824																																																																																																							WP_124321185.1																																																																																																																																													
N163.HOG0000010	OG0000000	n833																																																																																																																						WP_023965201.1																																																																																																																														
N163.HOG0000011	OG0000000	n1001																					WP_016703068.1																		WP_041989533.1																																																															WP_041989533.1	WP_124321156.1															WP_023966045.1																																																																																																																														
N163.HOG0000012	OG0000000	n1140																																																																																																																						WP_023968034.1																																																																																																																														
N163.HOG0000013	OG0000000	n1234																					WP_016703082.1																		WP_016703082.1																																																															WP_016703082.1																WP_016703082.1																																																																																																																														
N163.HOG0000014	OG0000000	n1373																					WP_009047810.1																		WP_009047810.1																																																															WP_009047810.1	WP_124319892.1															WP_023968407.1																																																																																																																														
N163.HOG0000015	OG0000000	n1480																					WP_016703267.1																		WP_041990206.1																																																															WP_124355118.1	WP_124321063.1																																																																																																																																													
N163.HOG0000016	OG0000000	n1671																					WP_016704180.1																		WP_028681613.1																																																															WP_028681613.1	WP_124319049.1															WP_023969504.1																																																																																																																														
N163.HOG0000017	OG0000000	n2017																					WP_009051681.1																		WP_009051681.1																																																															WP_009051681.1	WP_081359293.1															WP_023967712.1																																																																																																																														
N163.HOG0000018	OG0000000	n2155																					WP_009047227.1																		WP_009047227.1																																																															WP_009047227.1	WP_009047227.1															WP_023969803.1																																																																																																																														
N163.HOG0000019	OG0000000	n2392																																																																																																							WP_124321292.1																																																																																																																																													
N163.HOG0000020	OG0000000	n2767																																																																																																							WP_241176270.1															WP_023968793.1																																																																																																																														
N163.HOG0000021	OG0000000	n2874																					WP_009049917.1																		WP_041988223.1																																																															WP_041988223.1	WP_124321462.1															WP_023964171.1																																																																																																																														
N163.HOG0000022	OG0000000	n2965																					WP_016702323.1																		WP_016702323.1																																																															WP_016702323.1	WP_124321455.1															WP_023964187.1																																																																																																																														
N163.HOG0000023	OG0000000	n3050																					WP_016701941.1																		WP_016701941.1																																																															WP_038633698.1	WP_124321411.1															WP_023964299.1																																																																																																																														
N163.HOG0000024	OG0000000	n3173																					WP_009051074.1																		WP_009051074.1																																																															WP_009051074.1	WP_009051074.1															WP_009051074.1																																																																																																																														
N163.HOG0000025	OG0000000	n3201																					WP_009048845.1																		WP_038579263.1																																																															WP_009048845.1	WP_124320761.1															WP_023964816.1																																																																																																																														
N163.HOG0000026	OG0000000	n3229																					WP_016703623.1																		WP_016703623.1																																																															WP_016703623.1	WP_124322295.1															WP_023967454.1																																																																																																																														
N163.HOG0000027	OG0000000	n3297																					WP_016702848.1																		WP_041986853.1																																																															WP_124354833.1																																																																																																																																														
N163.HOG0000028	OG0000000	n3432																					WP_009048835.1																		WP_009048835.1																																																															WP_028682404.1	WP_124320753.1															WP_023964800.1																																																																																																																														
N163.HOG0000029	OG0000000	n3543																					WP_016702556.1																		WP_041985374.1																																																															WP_041985374.1	WP_124318709.1															WP_023970006.1																																																																																																																														
N163.HOG0000030	OG0000000	n3585																																																																																																						WP_124355372.1																																																																																																																																														
N163.HOG0000031	OG0000000	n3645																					WP_016703628.1																		WP_009050847.1																																																															WP_016703628.1	WP_124322298.1															WP_023967457.1																																																																																																																														
N163.HOG0000032	OG0000001	n9																					WP_009047835.1																		WP_009047835.1																																																															WP_009047835.1	WP_007928054.1															WP_009047835.1																																																																																																																														
N163.HOG0000033	OG0000001	n278																					WP_009050739.1																		WP_009050739.1																																																															WP_009050739.1	WP_124322222.1															WP_053269877.1																																																																																																																														
N163.HOG0000034	OG0000001	n461																																							WP_041989888.1																																																																															WP_023965240.1																																																																																																																														
N163.HOG0000035	OG0000001	n716																																																																																																							WP_124321085.1																																																																																																																																													
N163.HOG0000036	OG0000001	n800																					WP_016705227.1																		WP_041983726.1																																																															WP_041983726.1																																																																																																																																														
N163.HOG0000037	OG0000001	n822																																																																																																							WP_124321531.1																																																																																																																																													
N163.HOG0000038	OG0000001	n958																					WP_016702994.1																																																																																																	WP_023965121.1																																																																																																																														
N163.HOG0000039	OG0000001	n992																					WP_009047887.1																		WP_009047887.1																																																															WP_009047887.1	WP_124319982.1															WP_023968471.1																																																																																																																														
N163.HOG0000040	OG0000001	n1169																					WP_016705224.1																		WP_016705224.1																																																															WP_016705224.1	WP_124320251.1																																																																																																																																													
N163.HOG0000041	OG0000001	n1190																					WP_016702555.1																		WP_016702555.1																																																															WP_016702555.1	WP_124318708.1															WP_023970005.1																																																																																																																														
N163.HOG0000042	OG0000001	n1341																																																																																																							WP_124322962.1																																																																																																																																													
N163.HOG0000043	OG0000001	n1359																					WP_029526150.1																		WP_009047798.1																																																															WP_009047798.1	WP_124319882.1															WP_023968395.1																																																																																																																														
N163.HOG0000044	OG0000001	n1601																					WP_009048507.1																		WP_009048507.1																																																															WP_101282270.1	WP_124320494.1															WP_007923881.1																																																																																																																														
N163.HOG0000045	OG0000001	n1883																					WP_016705337.1																																																																																																																																																																																																																															
N163.HOG0000046	OG0000001	n1955																					WP_009049041.1																																																																																	WP_124355047.1																																																																																																																																														
N163.HOG0000047	OG0000001	n2360																					WP_016702999.1																		WP_016702999.1																																																															WP_124355038.1	WP_124320872.1															WP_023965135.1																																																																																																																														
N163.HOG0000048	OG0000001	n2761																					WP_016702330.1																		WP_041988226.1																																																															WP_041988226.1	WP_124321463.1															WP_031285902.1																																																																																																																														
N163.HOG0000049	OG0000001	n2863																																																																																																																						WP_023970396.1																																																																																																																														
