DATASET_MULTIBAR
SEPARATOR COMMA
DATASET_LABEL,dataset_label
COLOR,#848991
FIELD_COLORS,#58D68D,#F4D03F,#F5B041,#AAB7B8,#566573
FIELD_LABELS,cbrA,crc,pelA,cupB1,cupC2
LEGEND_TITLE,Dataset legend
LEGEND_SHAPES,1,1,1,1,1
LEGEND_COLORS,#58D68D,#F4D03F,#F5B041,#AAB7B8,#566573
LEGEND_LABELS,cbrA,crc,pelA,cupB1,cupC2
ALIGN_FIELDS,1
DATA
GCF_002362295.1,0,1,0,1,0
GCF_000046845.1,0,1,0,0,0
GCF_000413935.1,0,1,0,1,0
GCF_001682515.1,0,1,0,1,0
GCA_001077675.1,0,1,0,1,0
GCF_005281455.1,0,1,0,1,0
GCF_900105655.1,1,1,0,0,0
GCF_900105005.1,1,1,0,0,0
GCF_900105255.1,1,1,1,0,0
GCF_009497895.1,1,1,0,0,0
GCF_020025155.1,1,1,1,0,0
GCF_900104945.1,1,1,1,0,0
GCF_008693965.1,1,1,0,0,0
GCF_014522265.1,1,1,1,0,0
GCF_001518815.1,1,1,1,0,0
GCF_024448735.1,1,1,1,0,0
GCF_021432765.1,1,1,0,0,0
GCF_009740185.1,1,1,0,0,0
GCF_000825645.2,1,1,0,0,0
GCF_000327065.1,1,1,0,0,0
GCF_900636845.1,1,1,0,0,0
GCF_000013785.1,1,1,0,0,0
GCF_000219605.1,1,1,0,0,0
GCF_900105995.1,1,1,0,0,0
GCF_900104805.1,1,1,0,0,0
GCF_900105885.1,1,1,0,0,0
GCF_021605025.1,1,1,0,1,0
GCF_011397855.1,1,1,0,1,0
GCF_019879085.1,1,1,0,1,0
GCF_020422905.1,1,1,0,1,0
GCF_013393345.1,1,1,0,1,1
GCF_001708505.1,1,1,0,0,1
GCF_009911755.1,1,1,0,1,0
GCF_004745455.1,1,1,0,1,0
GCF_000349845.1,1,1,0,1,0
GCF_900188285.1,1,1,0,0,0
GCF_012971725.1,1,1,0,0,0
GCF_000017205.1,1,1,1,1,1
GCF_011466835.1,1,1,1,1,1
GCF_000568855.2,1,1,1,1,1
GCF_000026645.1,1,1,1,1,1
GCA_000014625.1,1,1,1,1,1
GCF_000006765.1,1,1,1,1,1
GCF_013200955.1,1,1,0,0,0
GCF_021654315.1,1,1,0,0,0
GCF_016861485.1,1,1,0,0,0
GCF_001839655.2,1,1,0,0,0
GCF_024397895.1,1,1,1,0,0
GCF_900116605.1,1,1,1,1,0
GCF_900682675.1,1,1,1,1,0
GCF_017915135.1,1,1,1,0,0
GCF_900626055.1,1,1,1,0,0
GCF_002442555.1,1,1,0,0,0
GCF_021495345.1,1,1,0,0,0
GCF_017798225.1,1,1,0,0,0
GCF_000204295.1,1,1,0,0,0
GCF_002941105.1,1,1,0,0,0
GCF_021029445.1,1,1,0,0,0
GCF_013409125.2,1,1,0,0,0
GCF_002741095.1,1,1,1,0,0
GCF_900106015.1,1,1,0,0,0
GCF_015712065.1,1,1,1,0,0
GCF_000319815.1,1,1,1,0,0
GCF_021601925.1,1,1,0,0,0
GCF_000696345.2,1,1,0,1,1
GCF_009755645.1,1,1,0,1,0
GCF_000746525.1,1,1,0,1,1
GCF_000759535.1,1,1,0,0,0
GCF_019139835.1,1,1,0,0,0
